Quarter ID,Quarter,State ID,State,Investment
20184,2018-Q4,3,Baja California Sur,97.84131908416748
20191,2019-Q1,3,Baja California Sur,149.77406358718872
20192,2019-Q2,3,Baja California Sur,94.34909307956696
20193,2019-Q3,3,Baja California Sur,107.37851810455322
20194,2019-Q4,3,Baja California Sur,113.47150731086731
20201,2020-Q1,3,Baja California Sur,292.23874282836914
20202,2020-Q2,3,Baja California Sur,113.88973951339722
20203,2020-Q3,3,Baja California Sur,130.88562202453613
20204,2020-Q4,3,Baja California Sur,73.57879219204187
20211,2021-Q1,3,Baja California Sur,241.73515224456787
20212,2021-Q2,3,Baja California Sur,136.09640827775002
20213,2021-Q3,3,Baja California Sur,317.89657455682755
20214,2021-Q4,3,Baja California Sur,402.22924184799194
20221,2022-Q1,3,Baja California Sur,328.36303301528096
20222,2022-Q2,3,Baja California Sur,156.19379448890686
20223,2022-Q3,3,Baja California Sur,165.70617485046387
20224,2022-Q4,3,Baja California Sur,174.0150604248047
20231,2023-Q1,3,Baja California Sur,204.5740466117859
20232,2023-Q2,3,Baja California Sur,463.49226902611554
20233,2023-Q3,3,Baja California Sur,257.3436279296875
20234,2023-Q4,3,Baja California Sur,247.7300581932068
20241,2024-Q1,3,Baja California Sur,229.1887490749359
20242,2024-Q2,3,Baja California Sur,390.8993282318115
20243,2024-Q3,3,Baja California Sur,575.5700492858887
20244,2024-Q4,3,Baja California Sur,157.57794094085693
19991,1999-Q1,4,Campeche,12.106730937957764
19992,1999-Q2,4,Campeche,11.945152252912521
19993,1999-Q3,4,Campeche,3.2832060330547392
19994,1999-Q4,4,Campeche,3.169985979795456
20001,2000-Q1,4,Campeche,5.482184052467346
20002,2000-Q2,4,Campeche,-1.7291738986968994
20003,2000-Q3,4,Campeche,7.530428022146225
20004,2000-Q4,4,Campeche,14.02477765083313
20011,2001-Q1,4,Campeche,19.339927554130554
20012,2001-Q2,4,Campeche,25.490068554878235
20013,2001-Q3,4,Campeche,36.61055397987366
20014,2001-Q4,4,Campeche,-31.03647541999817
20021,2002-Q1,4,Campeche,11.685871243476868
20022,2002-Q2,4,Campeche,38.50157642364502
20023,2002-Q3,4,Campeche,57.170907855033875
20024,2002-Q4,4,Campeche,83.56032705307007
20031,2003-Q1,4,Campeche,12.373199105262756
20032,2003-Q2,4,Campeche,12.387900114059448
20033,2003-Q3,4,Campeche,11.333215236663818
20034,2003-Q4,4,Campeche,29.61151582747698
20041,2004-Q1,4,Campeche,70.37895011901855
20042,2004-Q2,4,Campeche,5.350704669952393
20043,2004-Q3,4,Campeche,38.11815690994263
20044,2004-Q4,4,Campeche,35.199444979429245
20051,2005-Q1,4,Campeche,103.18276977539062
20052,2005-Q2,4,Campeche,13.217621684074402
20053,2005-Q3,4,Campeche,-1.5078353881835938
20054,2005-Q4,4,Campeche,14.402676105499268
20061,2006-Q1,4,Campeche,15.21579623222351
20062,2006-Q2,4,Campeche,9.928053081035614
20063,2006-Q3,4,Campeche,9.161857187747955
20064,2006-Q4,4,Campeche,-3.8865655809640884
20071,2007-Q1,4,Campeche,12.388787508010864
20072,2007-Q2,4,Campeche,60.70135521888733
20073,2007-Q3,4,Campeche,78.2363510131836
20074,2007-Q4,4,Campeche,-16.803358731791377
20081,2008-Q1,4,Campeche,13.404481321573257
20082,2008-Q2,4,Campeche,120.95569747686386
20083,2008-Q3,4,Campeche,1.3597349971532822
20084,2008-Q4,4,Campeche,14.332726567983627
20091,2009-Q1,4,Campeche,-7.861004948616028
20092,2009-Q2,4,Campeche,28.169158935546875
20093,2009-Q3,4,Campeche,6.358875811100006
20094,2009-Q4,4,Campeche,-0.499630406498909
20101,2010-Q1,4,Campeche,70.39198040962219
20102,2010-Q2,4,Campeche,-4.511572480201721
20103,2010-Q3,4,Campeche,9.654603872448206
20104,2010-Q4,4,Campeche,-2.3314638435840607
20111,2011-Q1,4,Campeche,5.176892217248678
20112,2011-Q2,4,Campeche,34.50008678436279
20113,2011-Q3,4,Campeche,-40.009971380233765
20114,2011-Q4,4,Campeche,25.130552291870117
20121,2012-Q1,4,Campeche,-41.96565818786621
20122,2012-Q2,4,Campeche,-11.483304262161255
20123,2012-Q3,4,Campeche,249.46999723045155
20124,2012-Q4,4,Campeche,13.64728593826294
20131,2013-Q1,4,Campeche,69.88814640045166
20132,2013-Q2,4,Campeche,141.89974975585938
20133,2013-Q3,4,Campeche,27.623837292194366
20134,2013-Q4,4,Campeche,39.00522041320801
20141,2014-Q1,4,Campeche,37.76407599449158
20142,2014-Q2,4,Campeche,46.02152967453003
20143,2014-Q3,4,Campeche,90.04984664916992
20144,2014-Q4,4,Campeche,44.96717771887779
20151,2015-Q1,4,Campeche,125.87975072860718
20152,2015-Q2,4,Campeche,69.03399848937988
20153,2015-Q3,4,Campeche,285.82038259506226
20154,2015-Q4,4,Campeche,62.2730278968811
20161,2016-Q1,4,Campeche,63.73368167877197
20162,2016-Q2,4,Campeche,33.63163232803345
20163,2016-Q3,4,Campeche,45.63869068026543
20164,2016-Q4,4,Campeche,-0.836061954498291
20171,2017-Q1,4,Campeche,102.28736877441406
20172,2017-Q2,4,Campeche,43.62096703052521
20173,2017-Q3,4,Campeche,119.1935920715332
20174,2017-Q4,4,Campeche,63.244069933891296
20181,2018-Q1,4,Campeche,18.067679405212402
20182,2018-Q2,4,Campeche,53.890214920043945
20183,2018-Q3,4,Campeche,-28.17224645614624
20184,2018-Q4,4,Campeche,79.70495223999023
20191,2019-Q1,4,Campeche,46.87904214859009
20192,2019-Q2,4,Campeche,34.5895414352417
20193,2019-Q3,4,Campeche,60.003005027770996
20194,2019-Q4,4,Campeche,10.394145011901855
20201,2020-Q1,4,Campeche,77.01671314239502
20202,2020-Q2,4,Campeche,33.85779023170471
20203,2020-Q3,4,Campeche,77.75568437576294
20204,2020-Q4,4,Campeche,19.24813222885132
20211,2021-Q1,4,Campeche,48.822570249438286
20212,2021-Q2,4,Campeche,78.25664710998535
20213,2021-Q3,4,Campeche,80.73123633861542
20214,2021-Q4,4,Campeche,10.607617735862732
20221,2022-Q1,4,Campeche,131.73476457595825
20222,2022-Q2,4,Campeche,5.048811674118042
20223,2022-Q3,4,Campeche,-55.514315128326416
20224,2022-Q4,4,Campeche,-42.01759657263756
20231,2023-Q1,4,Campeche,17.150677800178528
20232,2023-Q2,4,Campeche,-27.794975876808167
20233,2023-Q3,4,Campeche,33.90101504325867
20234,2023-Q4,4,Campeche,53.89356052875519
20241,2024-Q1,4,Campeche,47.14096657931805
20242,2024-Q2,4,Campeche,79.31665086746216
20243,2024-Q3,4,Campeche,9.582465559244156
20244,2024-Q4,4,Campeche,399.91560983657837
19991,1999-Q1,5,Coahuila de Zaragoza,152.69761657714844
19992,1999-Q2,5,Coahuila de Zaragoza,54.21945667266846
19993,1999-Q3,5,Coahuila de Zaragoza,2.5836477279663086
19994,1999-Q4,5,Coahuila de Zaragoza,272.19641637802124
20001,2000-Q1,5,Coahuila de Zaragoza,258.03870582580566
20002,2000-Q2,5,Coahuila de Zaragoza,99.6649284362793
20003,2000-Q3,5,Coahuila de Zaragoza,66.52903747558594
20004,2000-Q4,5,Coahuila de Zaragoza,86.98410034179688
20011,2001-Q1,5,Coahuila de Zaragoza,121.92221450805664
20012,2001-Q2,5,Coahuila de Zaragoza,262.2724771499634
